Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
S&P BSE India Corporate Bond Index,235.69000000000000,235.58000000000000,0.12000000000000,0.05,2/28/2024 12:00:00 AM
S&P BSE India Financials Bond Index,236.27000000000000,236.15000000000000,0.11000000000000,0.05,2/28/2024 12:00:00 AM
S&P BSE India Services Bond Index,244.50000000000000,244.38000000000000,0.12000000000000,0.05,2/28/2024 12:00:00 AM
S&P BSE India Utilities Bond Index,247.50000000000000,247.36000000000000,0.14000000000000,0.06,2/28/2024 12:00:00 AM
S&P BSE India Industrials Bond Index,227.35000000000000,227.24000000000000,0.11000000000000,0.05,2/28/2024 12:00:00 AM

