Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
S&P BSE 100 ESG Index,356.93,359.40,356.19,358.22,357.22,1.00,0.28,363.95,279.39,2367.72,28.21
S&P BSE CARBONEX,3714.49,3741.65,3702.37,3729.64,3716.61,13.03,0.35,3777.81,2789.81,3750.31,44.69
S&P BSE GREENEX,6397.10,6450.62,6361.12,6427.09,6394.27,32.82,0.51,6491.77,4217.11,572.13,6.82

